datetime,solrad
2018-04-07 09:30:12,600.0
2018-04-07 09:40:12,381.1199951171875
2018-04-07 09:50:12,533.1199951171875
2018-04-07 10:00:12,639.0399780273438
2018-04-07 10:20:12,616.9600219726562
2018-04-07 10:30:12,622.0800170898438
2018-04-07 10:50:12,369.9200134277344
2018-04-07 11:00:12,442.8800048828125
2018-04-07 11:10:12,666.8800048828125
2018-04-07 11:20:12,566.0800170898438
2018-04-07 11:30:12,616.9600219726562
2018-04-07 11:40:12,560.9600219726562
2018-04-07 11:50:11,454.0799865722656
2018-04-07 12:00:11,589.1199951171875
2018-04-07 12:10:11,600.0
2018-04-07 12:20:11,566.0800170898438
2018-04-07 12:30:11,550.0800170898438
2018-04-07 12:40:11,516.1599731445312
2018-04-07 13:00:11,493.1199951171875
2018-04-07 13:10:11,460.1600036621094
2018-04-07 13:20:11,464.9599914550781
2018-04-07 13:30:11,454.0799865722656
2018-04-07 13:40:11,442.8800048828125
2018-04-07 13:50:11,432.0
2018-04-07 14:00:11,386.8800048828125
2018-04-07 14:10:11,381.1199951171875
2018-04-07 14:20:11,376.0
2018-04-07 14:30:11,324.9599914550781
2018-04-07 14:40:10,314.0799865722656
2018-04-07 15:00:10,308.0
2018-04-07 15:20:10,236.0
2018-04-07 15:30:10,191.0399932861328
2018-04-07 15:40:10,179.0399932861328
2018-04-07 15:50:10,168.0
2018-04-07 16:00:10,174.0800018310547
2018-04-07 16:10:10,123.04000091552734
2018-04-07 16:20:10,129.0399932861328
2018-04-07 16:30:10,95.04000091552734
2018-04-07 16:40:10,73.0
2018-04-07 16:50:10,50.0
2018-04-07 17:00:10,28.0
2018-04-07 17:10:10,17.0
2018-04-07 17:20:10,6.0
2018-04-07 17:30:09,0.0
2018-04-08 05:20:05,6.0
2018-04-08 05:30:05,0.0
2018-04-08 05:40:05,50.0
2018-04-08 05:50:05,62.0
2018-04-08 06:00:04,90.0
2018-04-08 06:10:04,112.0
2018-04-08 06:20:04,135.0399932861328
2018-04-08 06:30:04,151.0399932861328
2018-04-08 06:40:04,174.0800018310547
2018-04-08 06:50:04,196.0
2018-04-08 07:00:04,224.0
2018-04-08 07:10:04,240.9600067138672
2018-04-08 07:20:04,264.0
2018-04-08 07:30:04,286.0799865722656
2018-04-08 07:40:04,308.0
2018-04-08 07:50:04,348.1600036621094
2018-04-08 08:00:04,381.1199951171875
2018-04-08 08:10:04,398.0799865722656
2018-04-08 08:20:04,432.0
2018-04-08 08:30:04,454.0799865722656
2018-04-08 08:40:04,493.1199951171875
2018-04-08 08:50:03,504.9599914550781
2018-04-08 09:00:03,527.0399780273438
2018-04-08 09:10:03,550.0800170898438
2018-04-08 09:20:03,554.8800048828125
2018-04-08 09:30:03,566.0800170898438
2018-04-08 09:40:03,572.1599731445312
2018-04-08 09:50:03,566.0800170898438
2018-04-08 10:00:03,577.9199829101562
2018-04-08 10:10:03,589.1199951171875
2018-04-08 10:20:03,600.0
2018-04-08 10:30:03,606.0800170898438
2018-04-08 10:40:03,593.9199829101562
2018-04-08 10:50:03,610.8800048828125
2018-04-08 11:00:03,622.0800170898438
2018-04-08 11:10:03,616.9600219726562
2018-04-08 11:20:03,606.0800170898438
2018-04-08 11:40:02,616.9600219726562
2018-04-08 11:50:02,606.0800170898438
2018-04-08 12:00:02,600.0
2018-04-08 12:10:02,577.9199829101562
2018-04-08 12:40:02,583.0399780273438
2018-04-08 13:00:02,533.1199951171875
2018-04-08 13:10:02,516.1599731445312
2018-04-08 13:20:02,498.8800048828125
2018-04-08 13:40:02,477.1199951171875
2018-04-08 13:50:02,460.1600036621094
2018-04-08 14:00:02,432.0
2018-04-08 14:10:02,408.9599914550781
2018-04-08 14:20:02,404.1600036621094
2018-04-08 14:30:01,376.0
2018-04-08 14:40:01,348.1600036621094
2018-04-08 14:50:01,157.0399932861328
2018-04-08 15:00:01,230.0800018310547
2018-04-08 15:10:01,303.0400085449219
2018-04-08 15:20:01,264.0
2018-04-08 15:30:01,168.0
2018-04-08 15:40:01,202.0800018310547
2018-04-08 15:50:01,179.0399932861328
2018-04-08 16:00:01,135.0399932861328
2018-04-08 16:10:01,62.0
2018-04-08 16:20:01,118.0
2018-04-08 16:30:01,79.0
2018-04-08 16:50:01,56.0
2018-04-08 17:00:01,39.0
2018-04-08 17:10:00,28.0
2018-04-08 17:20:01,6.0
2018-04-08 17:30:00,0.0
2018-04-09 05:29:56,6.0
2018-04-09 05:39:56,0.0
2018-04-09 05:49:56,17.0
2018-04-09 06:09:55,28.0
2018-04-09 06:19:55,34.0
2018-04-09 06:29:55,39.0
2018-04-09 06:39:55,34.0
2018-04-09 06:49:55,17.0
2018-04-09 06:59:55,22.0
2018-04-09 07:09:55,168.0
2018-04-09 07:29:55,84.0
2018-04-09 07:39:55,118.0
2018-04-09 07:49:55,348.1600036621094
2018-04-09 07:59:55,174.0800018310547
2018-04-09 08:09:55,386.8800048828125
2018-04-09 08:19:55,392.9599914550781
2018-04-09 08:29:55,314.0799865722656
2018-04-09 08:39:54,504.9599914550781
2018-04-09 08:49:54,258.0799865722656
2018-04-09 08:59:54,544.0
2018-04-09 09:09:54,258.0799865722656
2018-04-09 09:19:54,252.0
2018-04-09 09:29:54,510.0799865722656
2018-04-09 09:39:54,314.0799865722656
2018-04-09 09:49:54,404.1600036621094
2018-04-09 09:59:54,236.0
2018-04-09 10:09:54,359.0400085449219
2018-04-09 10:19:54,275.0400085449219
2018-04-09 10:29:54,247.0399932861328
2018-04-09 10:39:54,296.9599914550781
2018-04-09 10:49:54,230.0800018310547
2018-04-09 10:59:54,247.0399932861328
2018-04-09 11:09:54,146.0
2018-04-09 11:19:53,292.0
2018-04-09 11:29:53,236.0
2018-04-09 11:39:53,212.9600067138672
2018-04-09 11:49:53,330.8800048828125
2018-04-09 11:59:53,633.9199829101562
2018-04-09 12:09:53,554.8800048828125
2018-04-09 12:19:53,606.0800170898438
2018-04-09 12:29:53,589.1199951171875
2018-04-09 12:39:53,656.0
2018-04-09 12:49:53,684.1599731445312
2018-04-09 12:59:53,544.0
2018-04-09 13:09:53,303.0400085449219
2018-04-09 13:19:53,252.0
2018-04-09 13:29:53,386.8800048828125
2018-04-09 13:39:53,330.8800048828125
2018-04-09 13:49:53,437.1199951171875
2018-04-09 13:59:53,359.0400085449219
2018-04-09 14:09:53,381.1199951171875
2018-04-09 14:19:52,398.0799865722656
2018-04-09 14:29:52,364.1600036621094
2018-04-09 14:39:52,336.0
2018-04-09 14:49:52,275.0400085449219
2018-04-09 14:59:52,202.0800018310547
2018-04-09 15:09:52,135.0399932861328
2018-04-09 15:19:52,174.0800018310547
2018-04-09 15:29:52,230.0800018310547
2018-04-09 15:39:52,90.0
2018-04-09 15:49:52,95.04000091552734
2018-04-09 15:59:52,84.0
2018-04-09 16:09:52,50.0
2018-04-09 16:19:52,45.0
2018-04-09 16:29:52,34.0
2018-04-09 16:39:52,39.0
2018-04-09 16:49:52,28.0
2018-04-09 16:59:51,22.0
2018-04-09 17:09:51,0.0
2018-04-10 06:09:46,34.0
2018-04-10 06:19:46,39.0
2018-04-10 06:29:46,34.0
2018-04-10 06:39:46,56.0
2018-04-10 06:49:46,45.0
2018-04-10 06:59:46,56.0
2018-04-10 07:09:46,45.0
2018-04-10 07:19:46,79.0
2018-04-10 07:29:46,95.04000091552734
2018-04-10 07:39:46,129.0399932861328
2018-04-10 07:49:46,163.0399932861328
2018-04-10 07:59:45,196.0
2018-04-10 08:09:45,179.0399932861328
2018-04-10 08:19:45,207.0399932861328
2018-04-10 08:29:45,219.0399932861328
2018-04-10 08:39:45,415.0400085449219
2018-04-10 08:49:45,454.0799865722656
2018-04-10 08:59:45,352.9599914550781
2018-04-10 09:09:45,359.0400085449219
2018-04-10 09:19:45,252.0
2018-04-10 09:29:45,454.0799865722656
2018-04-10 09:39:45,566.0800170898438
2018-04-10 09:49:45,577.9199829101562
2018-04-10 09:59:45,560.9600219726562
2018-04-10 10:09:45,454.0799865722656
2018-04-10 10:19:45,415.0400085449219
2018-04-10 10:29:45,404.1600036621094
2018-04-10 10:39:45,398.0799865722656
2018-04-10 10:49:44,560.9600219726562
2018-04-10 10:59:44,364.1600036621094
2018-04-10 11:09:44,533.1199951171875
2018-04-10 11:19:44,359.0400085449219
2018-04-10 11:29:44,404.1600036621094
2018-04-10 11:39:44,550.0800170898438
2018-04-10 11:49:44,589.1199951171875
2018-04-10 11:59:44,498.8800048828125
2018-04-10 12:09:44,689.9199829101562
2018-04-10 12:19:44,610.8800048828125
2018-04-10 12:39:44,628.1599731445312
2018-04-10 12:49:44,464.9599914550781
2018-04-10 12:59:44,314.0799865722656
2018-04-10 13:09:44,352.9599914550781
2018-04-10 13:19:44,415.0400085449219
2018-04-10 13:29:43,448.9599914550781
2018-04-10 13:39:43,364.1600036621094
2018-04-10 13:49:43,460.1600036621094
2018-04-10 13:59:43,376.0
2018-04-10 14:09:43,359.0400085449219
2018-04-10 14:19:43,369.9200134277344
2018-04-10 14:29:43,324.9599914550781
2018-04-10 14:39:43,336.0
2018-04-10 14:49:43,330.8800048828125
2018-04-10 14:59:43,252.0
2018-04-10 15:09:43,112.0
2018-04-10 15:19:43,140.0
2018-04-10 15:29:43,196.0
2018-04-10 15:39:43,212.9600067138672
2018-04-10 15:49:43,168.0
2018-04-10 15:59:42,179.0399932861328
2018-04-10 16:09:42,140.0
2018-04-10 16:19:42,123.04000091552734
2018-04-10 16:29:42,95.04000091552734
2018-04-10 16:49:42,62.0
2018-04-10 16:59:42,34.0
2018-04-10 17:09:42,17.0
2018-04-10 17:19:42,11.0
2018-04-10 17:29:42,0.0
2018-04-11 05:19:37,17.0
2018-04-11 05:29:37,28.0
2018-04-11 05:39:37,50.0
2018-04-11 05:49:37,73.0
2018-04-11 05:59:37,84.0
2018-04-11 06:19:37,101.04000091552734
2018-04-11 06:29:37,146.0
2018-04-11 06:39:37,168.0
2018-04-11 06:49:37,179.0399932861328
2018-04-11 06:59:37,224.0
2018-04-11 07:09:36,240.9600067138672
2018-04-11 07:19:36,275.0400085449219
2018-04-11 07:29:36,280.0
2018-04-11 07:39:36,308.0
2018-04-11 07:49:36,336.0
2018-04-11 07:59:36,352.9599914550781
2018-04-11 08:09:36,398.0799865722656
2018-04-11 08:19:36,421.1199951171875
2018-04-11 08:29:36,460.1600036621094
2018-04-11 08:39:36,477.1199951171875
2018-04-11 08:49:36,510.0799865722656
2018-04-11 08:59:36,527.0399780273438
2018-04-11 09:09:36,572.1599731445312
2018-04-11 09:29:36,593.9199829101562
2018-04-11 09:39:36,606.0800170898438
2018-04-11 09:59:35,622.0800170898438
2018-04-11 10:09:35,628.1599731445312
2018-04-11 10:19:35,589.1199951171875
2018-04-11 10:29:35,649.9199829101562
2018-04-11 10:39:35,639.0399780273438
2018-04-11 10:49:35,656.0
2018-04-11 10:59:35,616.9600219726562
2018-04-11 11:09:35,628.1599731445312
2018-04-11 11:29:35,622.0800170898438
2018-04-11 11:39:35,633.9199829101562
2018-04-11 11:49:35,728.9600219726562
2018-04-11 11:59:35,885.760009765625
2018-04-11 12:09:35,947.8400268554688
2018-04-11 12:19:35,684.1599731445312
2018-04-11 12:29:34,700.7999877929688
2018-04-11 12:39:34,622.0800170898438
2018-04-11 12:49:34,577.9199829101562
2018-04-11 12:59:34,589.1199951171875
2018-04-11 13:09:34,527.0399780273438
2018-04-11 13:19:34,533.1199951171875
2018-04-11 13:29:34,537.9199829101562
2018-04-11 13:39:34,471.0400085449219
2018-04-11 13:49:34,464.9599914550781
2018-04-11 13:59:34,454.0799865722656
2018-04-11 14:09:34,448.9599914550781
2018-04-11 14:19:34,442.8800048828125
2018-04-11 14:29:34,392.9599914550781
2018-04-11 14:39:34,364.1600036621094
2018-04-11 14:49:34,359.0400085449219
2018-04-11 14:59:34,296.9599914550781
2018-04-11 15:09:34,280.0
2018-04-11 15:19:33,275.0400085449219
2018-04-11 15:29:33,247.0399932861328
2018-04-11 15:39:33,230.0800018310547
2018-04-11 15:49:33,196.0
2018-04-11 16:09:33,157.0399932861328
2018-04-11 16:19:33,140.0
2018-04-11 16:29:33,118.0
2018-04-11 16:39:33,101.04000091552734
2018-04-11 16:49:33,79.0
2018-04-11 16:59:33,45.0
2018-04-11 17:09:33,39.0
2018-04-11 17:19:33,22.0
2018-04-11 17:29:33,17.0
2018-04-11 17:39:33,0.0
2018-04-12 06:19:27,22.0
2018-04-12 06:29:27,28.0
2018-04-12 06:39:27,79.0
2018-04-12 06:49:27,118.0
2018-04-12 06:59:27,168.0
2018-04-12 07:09:27,146.0
2018-04-12 07:19:27,252.0
2018-04-12 07:29:27,90.0
2018-04-12 07:39:27,330.8800048828125
2018-04-12 07:49:27,308.0
2018-04-12 07:59:27,359.0400085449219
2018-04-12 08:09:27,369.9200134277344
2018-04-12 08:19:27,408.9599914550781
2018-04-12 08:39:27,460.1600036621094
2018-04-12 08:49:26,504.9599914550781
2018-04-12 08:59:26,471.0400085449219
2018-04-12 09:09:26,533.1199951171875
2018-04-12 09:19:26,537.9199829101562
2018-04-12 09:29:26,516.1599731445312
2018-04-12 09:39:26,566.0800170898438
2018-04-12 09:49:26,520.9600219726562
2018-04-12 09:59:26,550.0800170898438
2018-04-12 10:09:26,577.9199829101562
2018-04-12 10:19:26,554.8800048828125
2018-04-12 10:29:26,583.0399780273438
2018-04-12 10:39:26,572.1599731445312
2018-04-12 10:49:26,606.0800170898438
2018-04-12 10:59:26,437.1199951171875
2018-04-12 11:09:26,369.9200134277344
2018-04-12 11:19:26,583.0399780273438
2018-04-12 11:29:26,554.8800048828125
2018-04-12 11:39:25,639.0399780273438
2018-04-12 11:49:25,610.8800048828125
2018-04-12 11:59:25,673.280029296875
2018-04-12 12:09:25,589.1199951171875
2018-04-12 12:19:25,236.0
2018-04-12 12:29:25,275.0400085449219
2018-04-12 12:39:25,432.0
2018-04-12 12:49:25,533.1199951171875
2018-04-12 12:59:25,527.0399780273438
2018-04-12 13:09:25,471.0400085449219
2018-04-12 13:19:25,504.9599914550781
2018-04-12 13:29:25,454.0799865722656
2018-04-12 13:39:25,324.9599914550781
2018-04-12 13:49:25,219.0399932861328
2018-04-12 13:59:25,336.0
2018-04-12 14:09:25,404.1600036621094
2018-04-12 14:19:25,398.0799865722656
2018-04-12 14:29:25,324.9599914550781
2018-04-12 14:39:24,292.0
2018-04-12 14:49:24,308.0
2018-04-12 14:59:24,280.0
2018-04-12 15:09:24,179.0399932861328
2018-04-12 15:19:24,151.0399932861328
2018-04-12 15:29:24,95.04000091552734
2018-04-12 15:39:24,67.0
2018-04-12 15:49:24,73.0
2018-04-12 15:59:24,101.04000091552734
2018-04-12 16:09:24,50.0
2018-04-12 16:19:24,56.0
2018-04-12 16:29:24,95.04000091552734
2018-04-12 16:39:24,34.0
2018-04-12 16:49:24,11.0
2018-04-12 16:59:23,17.0
2018-04-12 17:19:23,0.0
2018-04-13 05:49:18,11.0
2018-04-13 05:59:18,34.0
2018-04-13 06:19:18,62.0
2018-04-13 06:29:18,73.0
2018-04-13 06:39:18,62.0
2018-04-13 06:49:18,95.04000091552734
2018-04-13 06:59:18,73.0
2018-04-13 07:09:18,84.0
2018-04-13 07:19:18,112.0
2018-04-13 07:29:18,184.9600067138672
2018-04-13 07:39:18,202.0800018310547
2018-04-13 07:49:18,212.9600067138672
2018-04-13 07:59:18,252.0
2018-04-13 08:09:18,348.1600036621094
2018-04-13 08:19:17,376.0
2018-04-13 08:29:17,386.8800048828125
2018-04-13 08:39:17,392.9599914550781
2018-04-13 08:49:17,510.0799865722656
2018-04-13 08:59:17,352.9599914550781
2018-04-13 09:09:17,516.1599731445312
2018-04-13 09:19:17,381.1199951171875
2018-04-13 09:29:17,247.0399932861328
2018-04-13 09:39:17,163.0399932861328
2018-04-13 09:49:17,275.0400085449219
2018-04-13 09:59:17,151.0399932861328
2018-04-13 10:09:17,135.0399932861328
2018-04-13 10:19:17,123.04000091552734
2018-04-13 10:29:17,73.0
2018-04-13 10:39:17,90.0
2018-04-13 10:49:17,230.0800018310547
2018-04-13 10:59:16,146.0
2018-04-13 11:09:16,140.0
2018-04-13 11:19:16,112.0
2018-04-13 11:29:16,79.0
2018-04-13 11:39:16,163.0399932861328
2018-04-13 11:49:16,191.0399932861328
2018-04-13 11:59:16,219.0399932861328
2018-04-13 12:09:16,168.0
2018-04-13 12:19:16,448.9599914550781
2018-04-13 12:29:16,537.9199829101562
2018-04-13 12:39:16,320.0
2018-04-13 12:49:16,421.1199951171875
2018-04-13 12:59:16,236.0
2018-04-13 13:09:16,264.0
2018-04-13 13:19:16,268.9599914550781
2018-04-13 13:29:16,432.0
2018-04-13 13:39:15,320.0
2018-04-13 13:49:15,442.8800048828125
2018-04-13 13:59:15,421.1199951171875
2018-04-13 14:09:15,404.1600036621094
2018-04-13 14:19:15,336.0
2018-04-13 14:29:15,342.0799865722656
2018-04-13 14:39:15,292.0
2018-04-13 14:49:15,163.0399932861328
2018-04-13 14:59:15,179.0399932861328
2018-04-13 15:09:15,123.04000091552734
2018-04-13 15:19:15,101.04000091552734
2018-04-13 15:39:15,84.0
2018-04-13 15:49:15,112.0
2018-04-13 15:59:15,50.0
2018-04-13 16:09:15,34.0
2018-04-13 16:19:14,6.0
2018-04-13 16:49:14,0.0
